,Municipio,2000,2010
364,Azcapotzalco,205.40,189.00
365,Coyoacán,194.30,194.40
366,Cuajimalpa de Morelos,84.60,89.50
367,Gustavo A. Madero,211.70,200.20
368,Iztacalco,226.90,210.40
369,Iztapalapa,211.70,215.40
370,La Magdalena Contreras,151.60,162.30
371,Milpa Alta,36.80,47.30
372,Álvaro Obregón,193.00,193.50
373,Tláhuac,127.10,135.80
374,Tlalpan,119.30,119.90
375,Xochimilco,88.00,93.80
376,Benito Juárez,149.70,157.10
377,Cuauhtémoc,214.70,215.60
378,Miguel Hidalgo,174.90,186.70
379,Venustiano Carranza,222.80,209.50
380,Tizayuca,35.90,57.50
381,Acolman,32.50,78.80
382,Amecameca,45.40,45.90
383,Apaxco,41.40,40.30
384,Atenco,48.20,52.10
385,Atizapán de Zaragoza,127.80,130.80
386,Atlautla,37.70,37.70
387,Axapusco,26.30,23.60
388,Ayapango,29.90,29.00
389,Coacalco de Berriozábal,185.50,161.20
390,Cocotitlán,46.10,52.30
391,Coyotepec,43.80,48.60
392,Cuautitlán,111.90,125.00
393,Chalco,85.20,96.50
394,Chiautla,22.60,22.80
395,Chicoloapan,129.80,150.40
396,Chiconcuac,50.80,51.40
397,Chimalhuacán,154.30,159.10
398,Ecatepec de Morelos,177.50,164.60
399,Ecatzingo,9.10,11.20
400,Huehuetoca,81.40,76.80
401,Hueypoxtla,18.30,20.20
402,Huixquilucan,90.60,100.40
403,Isidro Fabela,15.70,17.60
404,Ixtapaluca,131.50,142.40
405,Jaltenco,186.20,157.70
406,Jilotzingo,17.10,20.80
407,Juchitepec,64.50,72.70
408,Melchor Ocampo,56.50,65.90
409,Naucalpan de Juárez,205.30,192.80
410,Nezahualcóyotl,257.20,226.80
411,Nextlalpan,19.10,31.50
412,Nicolás Romero,74.60,86.50
413,Nopaltepec,13.60,15.80
414,Otumba,20.40,22.00
415,Ozumba,46.50,46.10
416,Papalotla,17.60,19.40
417,La Paz,141.20,134.70
418,San Martín de las Pirámides,43.80,43.00
419,Tecámac,67.90,98.20
420,Temamatla,38.40,37.20
421,Temascalapa,19.30,21.70
422,Tenango del Aire,35.10,41.00
423,Teoloyucan,41.80,44.20
424,Teotihuacán,35.30,37.10
425,Tepetlaoxtoc,13.10,15.50
426,Tepetlixpa,33.90,32.20
427,Tepotzotlán,68.00,55.40
428,Tequixquiac,16.90,18.70
429,Texcoco,46.90,45.90
430,Tezoyuca,30.90,37.00
431,Tlalmanalco,51.20,53.50
432,Tlalnepantla de Baz,174.20,155.40
433,Tultepec,109.40,110.20
434,Tultitlán,169.90,155.60
435,Villa del Carbón,18.80,21.60
436,Zumpango,35.60,45.00
437,Cuautitlán Izcalli,147.40,126.50
438,Valle de Chalco Solidaridad,146.90,158.70
439,Tonanitla,-,56.40
440,,,
